address,area,year,floors,entrance,flats,latitude,longitude
"ул. Герасима Курина, д. 22, Москва",9387.00,2005,24,1,184,55.73059857,37.4666375
"ул. Грина, д. 1, к. 8, Москва",18360.70,2005,24,2,368,55.56078957,37.587281
"ш. Дмитровское, д. 96, к. 3, Москва",12445.10,2009,24,1,155,55.87732907,37.5482135
"ул. Дыбенко, д. 16, к. 1, Москва",13587.60,2005,24,1,120,55.87144007,37.4853675
"ул. Загорьевская, д. 15, Москва",8872.00,2003,24,1,184,55.58049257,37.6883685
"ул. Загорьевская, д. 25, Москва",17863.30,2004,24,2,368,55.58334207,37.6947735
"б-р. Измайловский, д. 50, Москва",14043.80,2008,24,1,107,55.79632907,37.8077995
"ул. Каховка, д. 37, к. 1, Москва",19073.10,2003,24,2,168,55.65862657,37.563844
"ш. Каширское, д. 148, к. 2, Москва",12715.00,2007,24,2,220,55.59478357,37.724391
"ул. Клары Цеткин, д. 18Б, к. 1, Москва",15585.90,2007,24,1,135,55.82170407,37.5199615
"проезд. Лазоревый, д. 5, к. 1, Москва",10872.00,2017,24,1,145,55.84789657,37.6351975
"пр-кт. Ленинский, д. 119, к. 1, Москва",14216.00,2007,24,1,161,55.65101857,37.489167
"пр-кт. Ленинский, д. 134, Москва",33338.00,2019,24,5,357,55.66612657,37.5085885
"ул. Лобачевского, д. 98, к. 3, Москва",20908.00,2009,24,1,121,55.68404107,37.4819985
"ул. Лухмановская, д. 11, Москва",9104.50,2007,24,1,184,55.72041307,37.898251
"ул. Лухмановская, д. 15, к. 2, Москва",8930.50,2007,24,1,138,55.72183807,37.8925555
"ул. Лухмановская, д. 15, Москва",9105.80,2006,24,1,184,55.72145257,37.8963825
"ул. Лухмановская, д. 18, Москва",8921.10,2006,24,1,184,55.72007857,37.903093
"ул. Лухмановская, д. 27, Москва",18339.30,2010,24,2,368,55.72309507,37.901377
"ул. Лухмановская, д. 32, Москва",8934.00,2007,24,1,184,55.72236007,37.909938
"ул. Маршала Захарова, д. 20, Москва",22904.00,2001,24,3,265,55.61926907,37.6959235
"ул. Маршала Тухачевского, д. 55, Москва",11754.80,2005,24,5,395,55.78364057,37.458337
"ул. Митинская, д. 33, Москва",13047.30,2003,24,1,132,55.84770957,37.355956
"ул. Москворечье, д. 4, к. 6, Москва",34224.00,2008,24,4,552,55.64340857,37.6547715
